Louise,Ryan,louise.ryan652@gmail.com,healthcare safety complaint,"Yesterday I got a union pamphlet in the mail. It went something like this: Hello, My name is Gail Andris, and I am your union steward. My job is to help you learn about the union and all that we do. I am your voice in the union, and my job is to make sure you get what you deserve! Please help me to do this by showing up at your medical appointments! In return, I will be giving you a little gift, as a token of my gratitude! Did I get nothing from the quote? Did it even go on to explain what the gift was? No, I didn't."
Mindy,Flores,mindy.flores407@hotmail.com,help safety union,"Will I save in union dues if I’m with a team that has strong political voices and does things I agree with? Maybe. Or maybe not. But because I’m the one who has to pay for it, I’m quite confident that I’ll be supporting a political team that I believe in – it’s the most moral way to spend my money, and it’s also the only way to assure that I’m getting all of the benefit of political football without much of the risk. It also turns out that political football is like a lottery. The teams that pick up the most fans are the"
Janice,Thornton,janice.thornton344@gmail.com,union need union,"What will Amazon do with our warehouse if we unionize? We still worry about what Amazon might do. We’ve had—over the years, we have had members whose identities were stolen from a file cabinet, with all their work history. And we’ve had union members who have had to go to court and prove that they are not union supporters, because they were fired for that. So, I mean, we have people whose careers have been destroyed by Amazon in this country. So, you know, we worry about what will happen, but we’ve been trying to organize there."
Casey,Jackson,casey.jackson871@aol.com,help complaint union,"Did you see about the Google Union? As you know, the Alphabet conglomerate has a reputation for being a bit cheap. Every now and then, the unions come together to push for better working conditions for their workers. Most of these initiatives are unsuccessful but occasionally a fight is won. The only serious change that I know of so far has been an eight-hour day. Google workers came together at lunchtime today for a rally against overworking and unhealthy working conditions at Google."
Lela,Castro,lela.castro753@gmail.com,union complaint due,"What will Amazon do with our warehouse if we unionize? We still worry about what Amazon might do. We’ve had—over the years, we have had members whose identities were stolen from a file cabinet, with all their work history. And we’ve had union members who have had to go to court and prove that they are not union supporters, because they were fired for that. So, I mean, we have people whose careers have been destroyed by Amazon in this country. So, you know, we worry about what will happen, but we’ve been trying to organize there."
Violet,Robbins,violet.robbins828@hotmail.com,amazon help complaint,"What will Amazon do with our warehouse if we unionize? We still worry about what Amazon might do. We’ve had—over the years, we have had members whose identities were stolen from a file cabinet, with all their work history. And we’ve had union members who have had to go to court and prove that they are not union supporters, because they were fired for that. So, I mean, we have people whose careers have been destroyed by Amazon in this country. So, you know, we worry about what will happen, but we’ve been trying to organize there."
Rhonda,Cunningham,rhonda.cunningham228@apple.com,healthcare overtime due,"Hi, I have a question about my healthcare. What happens if I go to my dentist, my eye doctor or a specialist, and when it comes time to start paying out, they say ""no."" Do I have any recourse? If I go to a private doctor, and they say ""no,"" should I go back to the official state organization and argue?"
Nettie,Harmon,nettie.harmon7@apple.com,amazon help due,"I have been reading Karl Marx's Capital. My father told me that after I left home that he read Karl Marx's Capital when he was about 15 - 16 years old. He said that he hated Marx in college when the school forced the students to read it because some professor insisted that it was the most important book that we should read before we entered the university. My father didn't have the courage to object, so he just pretended that he read the book because the professor told him that it was the best book that he would ever"
Ruth,Gross,ruth.gross589@aol.com,complaint need due,"Who is starting the union at amazon? Joan (from Appletree) runs a team of just five that works on app build system AMS. Joe (from Local Global) runs a team of 80 that builds apps for the Appletree Open Cloud Operating System. They all work in Amazon's corporate headquarters in Seattle. Today's meeting started with an inspirational talk about the history of Local Global's work on Appletree, followed by introductions, a short networking period, then the regular meeting."
Janet,Saunders,janet.saunders361@hotmail.com,help complaint help,"Yesterday I got a union pamphlet in the mail. It went something like this: Hello, My name is Gail Andris, and I am your union steward. My job is to help you learn about the union and all that we do. I am your voice in the union, and my job is to make sure you get what you deserve! Please help me to do this by showing up at your medical appointments! In return, I will be giving you a little gift, as a token of my gratitude! Did I get nothing from the quote? Did it even go on to explain what the gift was? No, I didn't."
